vid_path,id_label,label,category
clips\17\6.MOV,17,CORRECT,SURVIVAL
clips\74\6.MOV,74,RED,COLOR
clips\4\2.MOV,4,HOW ARE YOU,GREETING
clips\102\3.MOV,102,WINE,DRINK
clips\10\0.MOV,10,UNDERSTAND,SURVIVAL
clips\8\17.MOV,8,YOURE WELCOME,GREETING
clips\62\1.MOV,62,BOY,RELATIONSHIPS
clips\82\14.MOV,82,VIOLET,COLOR
clips\47\2.MOV,47,SATURDAY,DAYS
clips\26\9.MOV,26,SEVEN,NUMBER
clips\14\15.MOV,14,NO,SURVIVAL
clips\73\2.MOV,73,GREEN,COLOR
clips\84\17.MOV,84,DARK,COLOR
clips\83\14.MOV,83,LIGHT,COLOR
clips\34\8.MOV,34,MAY,CALENDAR
clips\45\5.MOV,45,THURSDAY,DAYS
clips\14\20.MOV,14,NO,SURVIVAL
clips\93\6.MOV,93,SHRIMP,FOOD
clips\33\7.MOV,33,APRIL,CALENDAR
clips\73\0.MOV,73,GREEN,COLOR
clips\91\14.MOV,91,RICE,FOOD
clips\78\10.MOV,78,YELLOW,COLOR
clips\36\20.MOV,36,JULY,CALENDAR
clips\3\8.MOV,3,HELLO,GREETING
clips\59\18.MOV,59,AUNTIE,FAMILY
clips\103\13.MOV,103,SUGAR,DRINK
clips\1\0.MOV,1,GOOD AFTERNOON,GREETING
clips\91\18.MOV,91,RICE,FOOD
clips\45\0.MOV,45,THURSDAY,DAYS
clips\89\10.MOV,89,CHICKEN,FOOD
clips\17\7.MOV,17,CORRECT,SURVIVAL
clips\51\0.MOV,51,YESTERDAY,DAYS
clips\92\10.MOV,92,LONGANISA,FOOD
clips\68\11.MOV,68,WEELCHAIR PERSON,RELATIONSHIPS
clips\92\2.MOV,92,LONGANISA,FOOD
clips\89\12.MOV,89,CHICKEN,FOOD
clips\53\19.MOV,53,MOTHER,FAMILY
clips\94\3.MOV,94,CRAB,FOOD
clips\58\11.MOV,58,UNCLE,FAMILY
clips\29\19.MOV,29,TEN,NUMBER
clips\61\8.MOV,61,PARENTS,FAMILY
clips\28\10.MOV,28,NINE ,NUMBER
clips\86\5.MOV,86,EGG,FOOD
clips\67\2.MOV,67,HARD OF HEARING,RELATIONSHIPS
clips\75\5.MOV,75,BROWN,COLOR
clips\82\6.MOV,82,VIOLET,COLOR
clips\55\9.MOV,55,DAUGHTER,FAMILY
clips\44\6.MOV,44,WEDNESDAY,DAYS
clips\43\3.MOV,43,TUESDAY,DAYS
clips\29\9.MOV,29,TEN,NUMBER
clips\78\14.MOV,78,YELLOW,COLOR
clips\91\10.MOV,91,RICE,FOOD
clips\0\18.MOV,0,GOOD MORNING,GREETING
clips\75\7.MOV,75,BROWN,COLOR
clips\90\14.MOV,90,SPAGHETTI,FOOD
clips\64\9.MOV,64,MAN,RELATIONSHIPS
clips\48\11.MOV,48,SUNDAY,DAYS
clips\4\20.MOV,4,HOW ARE YOU,GREETING
clips\89\7.MOV,89,CHICKEN,FOOD
clips\52\10.MOV,52,FATHER,FAMILY
clips\70\14.MOV,70,DEAF BLIND,RELATIONSHIPS
clips\86\6.MOV,86,EGG,FOOD
clips\14\3.MOV,14,NO,SURVIVAL
clips\5\10.MOV,5,IM FINE,GREETING
clips\36\19.MOV,36,JULY,CALENDAR
clips\16\10.MOV,16,WRONG,SURVIVAL
clips\22\5.MOV,22,THREE,NUMBER
clips\96\14.MOV,96,COLD,DRINK
clips\78\19.MOV,78,YELLOW,COLOR
clips\4\15.MOV,4,HOW ARE YOU,GREETING
clips\44\4.MOV,44,WEDNESDAY,DAYS
clips\47\16.MOV,47,SATURDAY,DAYS
clips\2\2.MOV,2,GOOD EVENING,GREETING
clips\27\4.MOV,27,EIGHT,NUMBER
clips\63\10.MOV,63,GIRL,RELATIONSHIPS
clips\79\15.MOV,79,ORANGE,COLOR
clips\71\17.MOV,71,MARRIED,RELATIONSHIPS
clips\54\6.MOV,54,SON,FAMILY
clips\41\12.MOV,41,DECEMBER,CALENDAR
clips\66\16.MOV,66,DEAF,RELATIONSHIPS
clips\31\5.MOV,31,FEBRUARY,CALENDAR
clips\24\12.MOV,24,FIVE,NUMBER
clips\66\0.MOV,66,DEAF,RELATIONSHIPS
clips\71\2.MOV,71,MARRIED,RELATIONSHIPS
clips\1\2.MOV,1,GOOD AFTERNOON,GREETING
clips\4\16.MOV,4,HOW ARE YOU,GREETING
clips\101\4.MOV,101,BEER,DRINK
clips\68\0.MOV,68,WEELCHAIR PERSON,RELATIONSHIPS
clips\80\2.MOV,80,GRAY,COLOR
clips\22\14.MOV,22,THREE,NUMBER
clips\40\14.MOV,40,NOVEMBER,CALENDAR
clips\7\12.MOV,7,THANK YOU,GREETING
clips\22\16.MOV,22,THREE,NUMBER
clips\82\4.MOV,82,VIOLET,COLOR
clips\38\15.MOV,38,SEPTEMBER,CALENDAR
clips\27\14.MOV,27,EIGHT,NUMBER
clips\34\19.MOV,34,MAY,CALENDAR
clips\75\11.MOV,75,BROWN,COLOR
clips\28\18.MOV,28,NINE ,NUMBER
clips\76\11.MOV,76,BLACK,COLOR
clips\81\7.MOV,81,PINK,COLOR
clips\46\15.MOV,46,FRIDAY,DAYS
clips\1\15.MOV,1,GOOD AFTERNOON,GREETING
clips\104\12.MOV,104,NO SUGAR,DRINK
clips\74\16.MOV,74,RED,COLOR
clips\69\11.MOV,69,BLIND,RELATIONSHIPS
clips\40\0.MOV,40,NOVEMBER,CALENDAR
clips\81\3.MOV,81,PINK,COLOR
clips\99\2.MOV,99,COFFEE,DRINK
clips\3\1.MOV,3,HELLO,GREETING
clips\102\13.MOV,102,WINE,DRINK
clips\57\18.MOV,57,GRANDMOTHER,FAMILY
clips\44\1.MOV,44,WEDNESDAY,DAYS
clips\11\4.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\1\12.MOV,1,GOOD AFTERNOON,GREETING
clips\53\12.MOV,53,MOTHER,FAMILY
clips\80\16.MOV,80,GRAY,COLOR
clips\21\9.MOV,21,TWO,NUMBER
clips\31\18.MOV,31,FEBRUARY,CALENDAR
clips\93\0.MOV,93,SHRIMP,FOOD
clips\47\17.MOV,47,SATURDAY,DAYS
clips\98\1.MOV,98,MILK,DRINK
clips\95\15.MOV,95,HOT,DRINK
clips\47\15.MOV,47,SATURDAY,DAYS
clips\12\17.MOV,12,KNOW,SURVIVAL
clips\77\0.MOV,77,WHITE,COLOR
clips\33\10.MOV,33,APRIL,CALENDAR
clips\46\8.MOV,46,FRIDAY,DAYS
clips\56\13.MOV,56,GRANDFATHER,FAMILY
clips\53\15.MOV,53,MOTHER,FAMILY
clips\21\18.MOV,21,TWO,NUMBER
clips\6\21.MOV,6,NICE TO MEET YOU,GREETING
clips\96\1.MOV,96,COLD,DRINK
clips\51\16.MOV,51,YESTERDAY,DAYS
clips\7\1.MOV,7,THANK YOU,GREETING
clips\37\6.MOV,37,AUGUST,CALENDAR
clips\48\9.MOV,48,SUNDAY,DAYS
clips\62\5.MOV,62,BOY,RELATIONSHIPS
clips\89\6.MOV,89,CHICKEN,FOOD
clips\74\12.MOV,74,RED,COLOR
clips\55\6.MOV,55,DAUGHTER,FAMILY
clips\71\4.MOV,71,MARRIED,RELATIONSHIPS
clips\16\0.MOV,16,WRONG,SURVIVAL
